id,name,species,gender,height,weight,hair_color,eye_color,skin_color,year_born,homeworld,year_died,description
23,Boba Fett,Human,Male,1.83,78.0,Black,Brown,Light,32.0,Kamino,,A notorious bounty hunter and clone of Jango Fett.
24,Jango Fett,Human,Male,1.83,79.0,Black,Brown,Light,66.0,Concord Dawn,22.0,A skilled bounty hunter and template for the clone army.
25,General Hux,Human,Male,1.85,75.0,Red,Blue,Light,0.0,Arkanis,35.0,A general in the First Order.
26,Rose Tico,Human,Female,1.68,57.0,Black,Brown,Light,11.0,Hays Minor,,A mechanic in the Resistance.
27,Supreme Leader Snoke,Unknown,Male,2.18,100.0,,Blue,Pale,50.0,Unknown,34.0,The Supreme Leader of the First Order.
28,Maz Kanata,Unknown,Female,1.24,31.0,,Brown,Orange,973.0,Takodana,,A wise and ancient being who runs a tavern on Takodana.
29,Aayla Secura,Twi'lek,Female,1.78,55.0,Blue,Hazel,Blue,48.0,Ryloth,19.0,A Jedi Knight during the Clone Wars.
30,Admiral Ackbar,Mon Calamari,Male,1.8,72.0,,Orange,Red,52.0,Mon Cala,35.0,A respected admiral in the Rebel Alliance.
31,Admiral Piett,Human,Male,1.8,75.0,Brown,Blue,Light,59.0,Axxila,4.0,An Imperial officer serving under Darth Vader.
32,Bail Organa,Human,Male,1.91,86.0,Black,Brown,Light,67.0,Alderaan,0.0,A senator and adoptive father of Leia Organa.
33,Barriss Offee,Mirialan,Female,1.66,50.0,Black,Blue,Green,40.0,Mirial,19.0,A Jedi Padawan during the Clone Wars.
34,Biggs Darklighter,Human,Male,1.79,79.0,Black,Brown,Light,24.0,Tatooine,0.0,A Rebel pilot and friend of Luke Skywalker.
35,Bib Fortuna,Twi'lek,Male,1.93,65.0,,Red,Pale,60.0,Ryloth,35.0,A majordomo for Jabba the Hutt.
36,Bossk,Trandoshan,Male,1.9,113.0,,Red,Green,53.0,Trandosha,,A feared bounty hunter.
37,Captain Phasma,Human,Female,2.0,75.0,Blonde,Blue,Light,15.0,Parnassos,35.0,A high-ranking officer in the First Order.
38,Chirrut Îmwe,Human,Male,1.75,70.0,Black,Brown,Light,52.0,Jedha,0.0,A blind warrior monk and follower of the Force.
39,Dengar,Human,Male,1.83,80.0,Brown,Brown,Light,32.0,Corellia,,A bounty hunter with a grudge against Han Solo.
40,Greedo,Rodian,Male,1.73,70.0,,Black,Green,44.0,Rodia,0.0,A bounty hunter killed by Han Solo.
41,Hera Syndulla,Twi'lek,Female,1.78,55.0,Green,Blue,Green,29.0,Ryloth,,A skilled pilot and leader of the Ghost crew.
42,Jabba the Hutt,Hutt,Male,3.9,1358.0,,Orange,Green,600.0,Nal Hutta,4.0,A notorious crime lord.
43,Kanan Jarrus,Human,Male,1.91,86.0,Brown,Blue,Light,32.0,Coruscant,2.0,A Jedi Knight and member of the Ghost crew.
44,Kit Fisto,Nautolan,Male,1.96,87.0,,Black,Green,48.0,Glee Anselm,19.0,A Jedi Master known for his underwater combat skills.
45,Lobot,Human,Male,1.75,75.0,,Blue,Light,47.0,Bespin,,A cyborg aide to Lando Calrissian.
46,Mon Mothma,Human,Female,1.7,55.0,Red,Blue,Light,48.0,Chandrila,,A leader in the Rebel Alliance.
47,Nien Nunb,Sullustan,Male,1.6,70.0,,Black,Light,43.0,Sullust,,A pilot who co-piloted the Millennium Falcon during the Battle of Endor.
48,Plo Koon,Kel Dor,Male,1.88,80.0,,Black,Orange,44.0,Dorin,19.0,A Jedi Master known for his unique mask.
49,Saw Gerrera,Human,Male,1.78,75.0,Black,Brown,Dark,48.0,Onderon,0.0,A militant leader in the Rebel Alliance.
50,Sebulba,Dug,Male,1.12,40.0,,Red,Brown,32.0,Malastare,,A pod racer with a fierce reputation.
51,Shaak Ti,Togruta,Female,1.87,68.0,,Black,Red,43.0,Shili,,A Jedi Master and member of the Jedi High Council.
52,Shmi Skywalker,Human,Female,1.65,55.0,Brown,Brown,Light,72.0,Tatooine,22.0,The mother of Anakin Skywalker.
53,Wedge Antilles,Human,Male,1.79,80.0,Brown,Brown,Light,21.0,Corellia,,A skilled Rebel pilot.
54,Wicket W. Warrick,Ewok,Male,1.0,20.0,Brown,Brown,Brown,23.0,Endor,,An Ewok who helped the Rebel Alliance on Endor.
55,Zam Wesell,Clawdite,Female,1.78,60.0,Brown,Yellow,Green,32.0,Zolan,22.0,A shape-shifting bounty hunter.
56,Ahsoka Tano,Togruta,Female,1.88,55.0,,Blue,Orange,36.0,Shili,,A former Jedi Padawan of Anakin Skywalker.
57,Asajj Ventress,Dathomirian,Female,1.7,55.0,,Blue,Pale,57.0,Dathomir,19.0,A former Sith apprentice turned bounty hunter.
58,Cad Bane,Duros,Male,1.85,75.0,,Red,Blue,62.0,Duro,,A feared bounty hunter.
59,Captain Rex,Human,Male,1.83,80.0,Blond,Blue,Light,32.0,Kamino,,A clone trooper captain who served under Anakin Skywalker.
60,Savage Opress,Dathomirian,Male,2.18,100.0,,Yellow,Pale,49.0,Dathomir,19.0,The brother of Darth Maul and a powerful Sith apprentice.
61,Hondo Ohnaka,Weequay,Male,1.75,70.0,Black,Brown,Brown,45.0,Sriluur,,A pirate and smuggler.
62,Pong Krell,Besalisk,Male,2.5,300.0,,Yellow,Green,52.0,Ojom,19.0,A Jedi Master who fell to the dark side.
63,Mother Talzin,Dathomirian,Female,1.7,55.0,Black,Green,Pale,100.0,Dathomir,19.0,A powerful witch and leader of the Nightsisters.
64,Ezra Bridger,Human,Male,1.75,70.0,Blue,Black,Light,18.0,Lothal,,A Jedi Padawan and member of the Ghost crew.
65,Sabine Wren,Human,Female,1.65,50.0,Varied,Brown,Light,21.0,Mandalore,,A Mandalorian artist and warrior.
66,Kallus,Human,Male,1.88,85.0,Blond,Blue,Light,40.0,Coruscant,,An Imperial agent who defected to the Rebel Alliance.
67,Grand Admiral Thrawn,Chiss,Male,1.95,85.0,Blue-Black,Red,Blue,50.0,Csilla,,A brilliant tactician and leader in the Imperial Navy.
68,Jyn Erso,Human,Female,1.7,60.0,Brown,Green,Light,22.0,Vallt,0.0,The protagonist of Rogue One and a member of the Rebel Alliance.
69,Cassian Andor,Human,Male,1.84,75.0,Brown,Brown,Light,26.0,Fest,0.0,A Rebel intelligence officer.
70,Orson Krennic,Human,Male,1.85,80.0,White,Blue,Light,51.0,Lexrul,0.0,The director of the Empire's Advanced Weapons Research division.
71,Bodhi Rook,Human,Male,1.8,75.0,Black,Brown,Dark,25.0,Jedha,0.0,A former Imperial pilot who defected to the Rebel Alliance.
72,Baze Malbus,Human,Male,1.85,95.0,Black,Brown,Light,52.0,Jedha,0.0,A former Guardian of the Whills and companion to Chirrut Îmwe.
73,Galen Erso,Human,Male,1.83,75.0,Brown,Brown,Light,54.0,Grange,0.0,A scientist and father of Jyn Erso.
74,Admiral Raddus,Mon Calamari,Male,1.8,72.0,,Orange,Blue,50.0,Mon Cala,0.0,A respected admiral in the Rebel Alliance.
75,Dryden Vos,Human,Male,1.85,80.0,Blond,Blue,Light,35.0,Corellia,10.0,A crime lord in the Crimson Dawn syndicate.
76,Qi'ra,Human,Female,1.7,50.0,Brown,Brown,Light,21.0,Corellia,,A member of the Crimson Dawn syndicate.
77,Enfys Nest,Human,Female,1.68,55.0,Red,Brown,Light,19.0,Unknown,,A rebel and leader of the Cloud-Riders.
78,L3-37,Droid,,1.8,,,Green,Gray,,Unknown,10.0,A self-built piloting droid.
79,Beckett,Human,Male,1.85,80.0,Brown,Blue,Light,50.0,Glee Anselm,10.0,A criminal and mentor to Han Solo.
80,Val,Human,Female,1.75,55.0,Black,Brown,Dark,30.0,Unknown,10.0,A member of Beckett's crew.
81,Rio Durant,Ardennian,Male,1.4,40.0,,Black,Blue,40.0,Ardennia,10.0,A four-armed pilot in Beckett's crew.
